Date,Open,High,Low,Close,Adj Close,Volume
9/14/2018,113.809998,114.489998,113.230003,113.5,107.4841,10337900
9/17/2018,113.790001,114.43,113.300003,113.839996,107.806076,9561300
9/18/2018,114.330002,114.660004,113.559998,114.300003,108.241699,7944200
9/19/2018,114.440002,118.059998,114.440002,117.620003,111.385735,16052800
9/20/2018,118.5,119.239998,118.080002,118.629997,112.342194,15590000
9/21/2018,119.129997,119.230003,117.739998,117.849998,111.603531,24788200
9/24/2018,117.760002,118.459999,116.43,116.720001,110.533417,12492500
9/25/2018,117.040001,117.970001,116.32,116.389999,110.220917,9308300
9/26/2018,116.75,116.870003,114.660004,115.019997,108.923531,14023600
9/27/2018,115.419998,115.760002,114.160004,114.519997,108.450027,13283000
9/28/2018,113.650002,114.239998,112.519997,112.839996,106.859077,15815100
10/1/2018,113.370003,114.610001,113.040001,113.5,107.4841,10146300
10/2/2018,113.360001,114.120003,112.809998,113.970001,107.929184,13753100
10/3/2018,114.940002,115.660004,114.480003,115.040001,108.942482,17142000
10/4/2018,114.550003,116.809998,114.209999,115.269997,109.924706,16357400
10/5/2018,115.830002,116.099998,114.019997,114.620003,109.304848,13777600
10/8/2018,114.25,115.779999,113.349998,115.32,109.972397,14370900
10/9/2018,114.669998,115.029999,113.669998,114.519997,109.209488,14069500
10/10/2018,114.699997,114.949997,111.470001,111.470001,106.300926,23086400
10/11/2018,110.970001,111.470001,107.379997,108.129997,103.115807,33705600
10/12/2018,110.370003,110.830002,105.599998,106.949997,101.990517,32075700
10/15/2018,107.199997,108.849998,106.32,106.339996,101.408806,18903200
10/16/2018,107.160004,108.779999,106.730003,108.620003,103.583076,19302800
10/17/2018,108.379997,110.800003,108.230003,109.830002,104.736977,18794500
10/18/2018,109.019997,109.839996,107.809998,108.089996,103.077652,17582500
10/19/2018,107.650002,109.220001,107.269997,107.910004,102.906013,15234500
10/22/2018,108.150002,108.339996,106.110001,106.360001,101.427887,16199100
10/23/2018,104.199997,106.160004,103.699997,105.25,100.369354,21407500
10/24/2018,104.760002,105.029999,102.910004,103.290001,98.500244,23168900
10/25/2018,104.18,105.900002,103.720001,104.860001,99.997444,17464700
10/26/2018,104,104.559998,102.730003,103.419998,98.624222,19174900
10/29/2018,104.459999,106.629997,103.699997,104.849998,99.9879,18445200
10/30/2018,105.709999,106.980003,104.860001,106.699997,101.752113,18019700
10/31/2018,108.080002,110.480003,107.790001,109.019997,103.964531,20860000
11/1/2018,109.620003,110.220001,108.32,108.980003,103.926392,13065000
11/2/2018,109.900002,110.809998,107.489998,108.379997,103.35421,19009200
11/5/2018,108.610001,109.290001,108.419998,109.089996,104.031288,10276400
11/6/2018,108.669998,109.669998,107.760002,109.599998,104.517632,10825000
11/7/2018,110.370003,111.730003,109.349998,111.480003,106.310455,12679600
11/8/2018,111.010002,112.93,111,112.379997,107.168724,11662500
11/9/2018,112.230003,112.360001,110.830002,111.290001,106.129272,10432200
11/12/2018,111.419998,111.940002,108.599998,108.949997,103.897781,13279700
11/13/2018,109.099998,111.120003,109.099998,109.589996,104.508087,13746100
11/14/2018,110.230003,110.709999,105.980003,107.330002,102.352905,18361400
11/15/2018,108.239998,110.080002,106.809998,110.07,104.965843,19100000
11/16/2018,109.449997,110.760002,108.550003,109.989998,104.889549,13798600
11/19/2018,109.959999,111.199997,109.529999,110.830002,105.690598,13987000
11/20/2018,109.779999,110.489998,107.980003,108.449997,103.420959,18936200
11/21/2018,109.029999,109.610001,107.639999,107.639999,102.648529,10619600
11/23/2018,106.739998,107.389999,106.059998,106.650002,101.704445,6488400
11/26/2018,107.720001,109.980003,107.449997,109.260002,104.193413,13948300
11/27/2018,108.760002,110.029999,108.629997,109.720001,104.632072,9238200
11/28/2018,109.800003,111.400002,108.870003,110.940002,105.795494,13977300
11/29/2018,110.269997,110.800003,109.639999,110.059998,104.956306,11144300
11/30/2018,109.849998,111.32,109.580002,111.190002,106.033913,18652700
12/3/2018,112.379997,112.889999,111.739998,112.239998,107.03521,16034500
12/4/2018,111.599998,111.599998,106.730003,107.230003,102.257538,23555900
12/6/2018,105.010002,105.360001,102.879997,105.190002,100.312141,27213900
12/7/2018,105.160004,106.980003,102.910004,103.290001,98.500244,19248600
12/10/2018,102.870003,103.489998,99.279999,101.360001,96.659752,23636400
12/11/2018,103.129997,103.660004,100.209999,100.370003,95.715652,16860700
12/12/2018,101.660004,102.900002,100.059998,101.019997,96.335503,22621500
12/13/2018,101.550003,101.970001,100.669998,101.120003,96.430878,17250900
12/14/2018,99.989998,101.940002,99.860001,100.290001,95.639359,19879500
12/17/2018,99.769997,100.559998,98.440002,99.010002,94.418724,25113500
12/18/2018,99.419998,100.889999,98.120003,98.540001,93.970505,20837200
12/19/2018,98.410004,100.580002,96.599998,97.290001,92.778473,28767900
12/20/2018,96.610001,98.279999,95.690002,96.449997,91.977425,31825200
12/21/2018,96.68,98.43,93.690002,94.169998,89.803154,41313900
12/24/2018,92.889999,94.220001,92.139999,92.139999,87.867294,17009300
12/26/2018,92.690002,95.959999,91.110001,95.959999,91.510139,22542900
12/27/2018,94.82,97.150002,93.550003,97.040001,92.54007,20304700
12/28/2018,97.949997,98.32,96.440002,96.830002,92.339806,17963300
